Thu Nov 23 13:00:53 MST 2017
Thu Nov 23 13:01:05 MST 2017
Thu Nov 23 13:02:21 MST 2017
starting calibration
cal
3724 0
3725 0
3725 0
3723 0
3727 0
3727 0
3725 0
3725 0
3725 0
3726 0
3725 1
3725 1
3725 1
3724 1
3725 1
3725 1
3724 1
3727 1
3727 1
3728 1
calibration finished
Thu Nov 23 13:08:29 MST 2017
starting calibration
cal
3727 0
3727 0
3726 0
3727 0
3727 0
3657 1
3652 1
3652 1
3649 1
3651 1
3650 1
3651 1
3649 1
3649 1
3649 1
3648 1
3647 1
3645 1
3647 1
3647 1
3646 1
3643 1
3643 1
3643 1
3642 1
3643 1
3645 1
3640 1
3641 1
3640 1
3640 1
3640 1
3639 1
3639 1
3638 1
3639 1
3639 1
3638 1
3637 1
3639 1
3635 1
3637 1
3639 1
3639 1
3636 1
3636 1
3636 1
3638 1
3635 1
3638 1
3636 1
3636 1
3634 1
3635 1
3635 1
3635 1
3634 1
3636 1
3633 1
3633 1
3633 1
3635 1
3631 1
3634 1
3632 1
3633 1
3631 1
3631 1
3633 1
3634 1
3630 1
3631 1
3634 1
3631 1
3632 1
3633 1
3633 1
3632 1
3630 1
3632 1
3633 1
3630 1
3629 1
3630 1
3630 1
3629 1
3629 1
3629 1
3630 1
3628 1
3628 1
3627 1
3628 1
3629 1
3630 1
3628 1
3629 1
3628 1
3627 1
3628 1
3626 1
3628 1
3628 1
3628 1
3627 1
3630 1
3627 1
3629 1
3628 1
3627 1
3626 1
3627 1
3625 1
3626 1
3625 1
3625 1
3626 1
3626 1
3626 1
3624 1
3626 1
3625 1
3623 1
3624 1
3622 1
3623 1
3623 1
3626 1
3624 1
3624 1
3627 1
3623 1
3624 1
3627 1
3625 1
3623 1
3623 1
3625 1
3623 1
3625 1
3623 1
3624 1
3623 1
3624 1
3622 1
3623 1
3624 1
3622 1
3622 1
3621 1
3621 1
3621 1
3622 1
3622 1
3619 1
3619 1
3622 1
3621 1
3620 1
3622 1
3624 1
3623 1
3623 1
3623 1
3620 1
3620 1
3620 1
3620 1
3620 1
3620 1
3620 1
3621 1
3621 1
3622 1
3619 1
3621 1
3621 1
3621 1
3620 1
3620 1
3619 1
3620 1
3621 1
3620 1
3619 1
3620 1
3619 1
3618 1
3620 1
3621 1
3620 1
3621 1
3621 1
3618 1
3619 1
3618 1
3620 1
3619 1
3620 1
3620 1
3617 1
3619 1
3618 1
3618 1
3619 1
3619 1
3617 1
3617 1
3617 1
3616 1
3617 1
3620 1
3615 1
3617 1
3616 1
3617 1
3615 1
3618 1
3617 1
3619 1
3619 1
3619 1
3618 1
3618 1
3618 1
3616 1
3616 1
3616 1
3614 1
3616 1
3616 1
3617 1
3617 1
3616 1
3616 1
3615 1
3615 1
3615 1
3615 1
3614 1
3616 1
3616 1
3613 1
3614 1
3614 1
3613 1
3614 1
3615 1
3615 1
3616 1
3616 1
3616 1
3613 1
3615 1
3614 1
3613 1
3615 1
3615 1
3613 1
3613 1
3614 1
3613 1
3612 1
3614 1
3614 1
3613 1
3612 1
3613 1
3614 1
3612 1
3611 1
3610 1
3611 1
3610 1
3611 1
3613 1
3614 1
3614 1
3611 1
3612 1
3613 1
3612 1
3612 1
3613 1
3612 1
3612 1
3612 1
3610 1
3624 1
3621 1
3623 1
3624 1
3623 1
3621 1
3622 1
3619 1
3618 1
3618 1
3617 1
3617 1
3616 1
3616 1
3618 1
3615 1
3619 1
3618 1
3619 1
3617 1
3617 1
3617 1
3618 1
3617 1
3618 1
3616 1
3616 1
3614 1
3618 1
3618 1
3615 1
3615 1
3616 1
3617 1
3616 1
3615 1
3614 1
3614 1
3617 1
3616 1
3615 1
3613 1
3614 1
3614 1
3614 1
3616 1
3616 1
3616 1
3615 1
3616 1
3615 1
3617 1
3614 1
3615 1
3614 1
3616 1
3613 1
3612 1
3613 1
3612 1
3614 1
3616 1
3615 1
3615 1
3614 1
3611 1
3614 1
3613 1
3614 1
3612 1
3613 1
3613 1
3611 1
3612 1
3613 1
3617 1
3615 1
3613 1
3614 1
3614 1
3614 1
3613 1
3613 1
3612 1
3615 1
3612 1
3613 1
3612 1
3612 1
3612 1
3615 1
3612 1
3612 1
3612 1
3612 1
3609 1
3612 1
3611 1
3610 1
3611 1
3612 1
3610 1
3609 1
3613 1
3610 1
3613 1
3613 1
3612 1
3612 1
3613 1
3612 1
3612 1
3612 1
3613 1
3612 1
3610 1
3611 1
3611 1
3611 1
3613 1
3609 1
3609 1
3610 1
3609 1
3610 1
3609 1
3608 1
3612 1
3609 1
3610 1
3610 1
3610 1
3612 1
3612 1
3612 1
3612 1
3611 1
3611 1
3609 1
3610 1
3610 1
3609 1
3611 1
3610 1
3611 1
3609 1
3608 1
3608 1
3609 1
3609 1
3608 1
3608 1
3610 1
3608 1
3607 1
3609 1
3609 1
3610 1
3608 1
3612 1
3609 1
3607 1
3611 1
3610 1
3607 1
3609 1
3609 1
3610 1
3609 1
3606 1
3610 1
3606 1
3609 1
3607 1
3607 1
3607 1
3608 1
3607 1
3607 1
3607 1
3605 1
3607 1
3606 1
3607 1
3606 1
3605 1
3605 1
3607 1
3608 1
3609 1
3607 1
3607 1
3607 1
3609 1
3607 1
3605 1
3607 1
3606 1
3606 1
3607 1
3607 1
3606 1
3604 1
3606 1
3606 1
3606 1
3605 1
3607 1
3605 1
3603 1
3603 1
3605 1
3605 1
3602 1
3605 1
3605 1
3608 1
3610 1
3607 1
3607 1
3609 1
3607 1
3606 1
3608 1
3606 1
3606 1
3607 1
3606 1
3607 1
3605 1
3607 1
3606 1
3605 1
3604 1
3605 1
3605 1
3605 1
3604 1
3605 1
3606 1
3605 1
3603 1
3605 1
3606 1
3607 1
3605 1
3608 1
3609 1
3608 1
3605 1
3606 1
3605 1
3607 1
3606 1
3605 1
3604 1
3604 1
3606 1
3606 1
3603 1
3604 1
3604 1
3604 1
3605 1
3604 1
3602 1
3604 1
3604 1
3601 1
3603 1
3604 1
3607 1
3606 1
3605 1
3605 1
3603 1
3604 1
3603 1
3603 1
3605 1
3606 1
3603 1
3604 1
3602 1
3603 1
3602 1
3604 1
3604 1
3603 1
3606 1
3601 1
3604 1
3600 1
3600 1
3604 1
3602 1
3602 1
3602 1
3603 1
3602 1
3602 1
3603 1
3603 1
3603 1
3604 1
3602 1
3603 1
3602 1
3601 1
3599 1
3677 0
3683 0
3685 0
3684 0
3685 0
calibration finished
Thu Nov 23 13:28:59 MST 2017
starting calibration
cal
V open = 3693
V loaded = 3624
R int = 317 (milliohms)
0 3691 0
0 3693 0
0 3694 0
0 3694 0
0 3694 0
0 3626 1
2 3619 1
4 3618 1
6 3616 1
8 3617 1
10 3615 1
12 3615 1
14 3613 1
16 3613 1
18 3613 1
20 3613 1
22 3613 1
24 3614 1
26 3614 1
28 3611 1
30 3613 1
32 3610 1
34 3611 1
36 3611 1
38 3609 1
40 3611 1
42 3611 1
44 3608 1
46 3608 1
48 3609 1
50 3606 1
52 3607 1
54 3607 1
56 3607 1
58 3606 1
60 3606 1
62 3604 1
64 3604 1
66 3604 1
68 3605 1
70 3605 1
72 3604 1
74 3604 1
76 3604 1
78 3603 1
80 3602 1
82 3605 1
84 3605 1
86 3604 1
88 3605 1
90 3604 1
92 3605 1
94 3605 1
96 3602 1
98 3604 1
100 3602 1
102 3604 1
104 3603 1
106 3602 1
108 3602 1
110 3601 1
112 3601 1
114 3601 1
116 3601 1
118 3601 1
120 3601 1
122 3600 1
124 3600 1
126 3600 1
128 3600 1
130 3600 1
132 3599 1
132 3672 0
134 3679 0
136 3678 0
138 3680 0
140 3680 0
calibration finished
Thu Nov 23 13:31:21 MST 2017
Thu Nov 23 13:46:02 MST 2017
starting calibration
cal
V open = 4220
V loaded = 4176
R int = 175 (milliohms)
0 4223 0
0 4221 0
0 4223 0
0 4221 0
0 4221 0
0 4175 1
2 4172 1
4 4172 1
6 4172 1
8 4171 1
10 4171 1
12 4169 1
14 4168 1
16 4167 1
18 4165 1
20 4169 1
22 4165 1
24 4168 1
26 4164 1
28 4164 1
30 4164 1
32 4164 1
34 4163 1
36 4163 1
38 4162 1
40 4163 1
42 4162 1
44 4160 1
46 4162 1
48 4158 1
50 4158 1
52 4162 1
54 4162 1
56 4161 1
58 4161 1
60 4161 1
62 4158 1
64 4159 1
66 4159 1
68 4158 1
70 4158 1
72 4158 1
74 4160 1
76 4157 1
78 4158 1
80 4157 1
82 4156 1
84 4155 1
86 4154 1
88 4155 1
90 4156 1
92 4154 1
94 4156 1
96 4154 1
98 4154 1
100 4154 1
102 4152 1
104 4153 1
106 4154 1
108 4155 1
110 4154 1
112 4155 1
114 4154 1
116 4155 1
118 4154 1
120 4155 1
122 4156 1
124 4153 1
126 4153 1
128 4152 1
130 4152 1
132 4154 1
134 4152 1
136 4150 1
138 4151 1
140 4152 1
142 4151 1
144 4150 1
146 4150 1
148 4151 1
150 4149 1
152 4149 1
154 4150 1
156 4147 1
158 4150 1
160 4150 1
162 4149 1
164 4148 1
166 4151 1
168 4149 1
170 4149 1
172 4149 1
174 4151 1
176 4148 1
178 4148 1
180 4147 1
182 4148 1
184 4151 1
186 4148 1
188 4149 1
190 4147 1
192 4148 1
194 4147 1
196 4146 1
198 4146 1
200 4147 1
202 4146 1
204 4146 1
206 4146 1
208 4146 1
210 4145 1
212 4146 1
214 4146 1
216 4144 1
218 4145 1
220 4144 1
222 4145 1
224 4148 1
226 4146 1
228 4146 1
230 4146 1
232 4145 1
234 4145 1
236 4147 1
238 4145 1
240 4147 1
242 4144 1
244 4143 1
246 4146 1
248 4143 1
250 4145 1
252 4143 1
254 4143 1
256 4144 1
258 4144 1
260 4143 1
262 4142 1
264 4143 1
266 4140 1
268 4142 1
270 4142 1
272 4143 1
274 4143 1
276 4141 1
278 4143 1
280 4143 1
282 4143 1
284 4143 1
286 4144 1
288 4144 1
290 4141 1
292 4143 1
294 4143 1
296 4142 1
298 4141 1
300 4144 1
302 4142 1
304 4141 1
306 4143 1
308 4140 1
310 4142 1
312 4139 1
314 4140 1
316 4141 1
318 4139 1
320 4139 1
322 4138 1
324 4139 1
326 4139 1
328 4139 1
330 4140 1
332 4137 1
334 4139 1
336 4138 1
338 4142 1
340 4139 1
342 4140 1
344 4141 1
346 4139 1
348 4139 1
350 4139 1
352 4140 1
354 4140 1
356 4139 1
358 4138 1
360 4139 1
362 4139 1
364 4140 1
366 4136 1
368 4138 1
370 4137 1
372 4137 1
374 4136 1
376 4137 1
378 4136 1
380 4138 1
382 4138 1
384 4137 1
386 4134 1
388 4130 1
390 4133 1
392 4132 1
394 4138 1
396 4135 1
398 4137 1
400 4134 1
402 4134 1
404 4136 1
406 4135 1
408 4134 1
410 4136 1
412 4135 1
414 4136 1
416 4136 1
418 4132 1
420 4134 1
422 4135 1
424 4133 1
426 4134 1
428 4132 1
430 4133 1
432 4133 1
434 4134 1
436 4135 1
438 4132 1
440 4133 1
442 4133 1
444 4132 1
446 4131 1
448 4132 1
450 4133 1
452 4133 1
454 4134 1
456 4132 1
458 4134 1
460 4133 1
462 4133 1
464 4135 1
466 4134 1
468 4136 1
470 4133 1
472 4132 1
474 4131 1
476 4134 1
478 4132 1
480 4134 1
482 4131 1
484 4130 1
486 4132 1
488 4132 1
490 4130 1
492 4129 1
494 4132 1
496 4130 1
498 4133 1
500 4129 1
502 4130 1
504 4129 1
506 4128 1
508 4130 1
510 4133 1
512 4130 1
514 4132 1
516 4129 1
518 4131 1
520 4133 1
522 4133 1
524 4132 1
526 4132 1
528 4132 1
530 4130 1
532 4130 1
534 4132 1
536 4129 1
538 4129 1
540 4129 1
542 4129 1
544 4130 1
546 4128 1
548 4129 1
550 4129 1
552 4129 1
554 4128 1
556 4128 1
558 4127 1
560 4128 1
562 4129 1
564 4131 1
566 4129 1
568 4130 1
570 4131 1
572 4130 1
574 4130 1
576 4130 1
578 4131 1
580 4129 1
582 4132 1
584 4131 1
586 4129 1
588 4128 1
590 4128 1
592 4129 1
594 4126 1
596 4129 1
598 4127 1
600 4126 1
602 4127 1
604 4129 1
606 4127 1
608 4126 1
610 4126 1
612 4125 1
614 4127 1
616 4126 1
618 4126 1
620 4127 1
622 4126 1
624 4130 1
626 4128 1
628 4128 1
630 4128 1
632 4127 1
634 4124 1
636 4129 1
638 4127 1
640 4126 1
642 4126 1
644 4125 1
646 4125 1
648 4125 1
650 4124 1
652 4125 1
654 4126 1
656 4126 1
658 4125 1
660 4124 1
662 4124 1
664 4123 1
666 4124 1
668 4125 1
670 4122 1
672 4123 1
674 4123 1
676 4124 1
678 4127 1
680 4125 1
682 4124 1
684 4126 1
686 4126 1
688 4125 1
690 4126 1
692 4126 1
694 4124 1
696 4123 1
698 4123 1
700 4126 1
702 4124 1
704 4124 1
706 4123 1
708 4124 1
710 4124 1
712 4124 1
714 4123 1
716 4122 1
718 4122 1
720 4123 1
722 4123 1
724 4122 1
726 4120 1
728 4123 1
730 4124 1
732 4122 1
734 4123 1
736 4123 1
738 4123 1
740 4123 1
742 4125 1
744 4120 1
746 4123 1
748 4122 1
750 4123 1
752 4122 1
754 4125 1
756 4121 1
758 4122 1
760 4123 1
762 4122 1
764 4118 1
766 4120 1
768 4120 1
770 4121 1
772 4123 1
774 4121 1
776 4121 1
778 4119 1
780 4119 1
782 4120 1
784 4120 1
786 4122 1
788 4122 1
790 4120 1
792 4121 1
794 4123 1
796 4120 1
798 4120 1
800 4120 1
802 4120 1
804 4122 1
806 4119 1
808 4120 1
810 4120 1
812 4120 1
814 4119 1
816 4119 1
818 4118 1
820 4117 1
822 4119 1
824 4120 1
826 4119 1
828 4121 1
830 4117 1
832 4119 1
834 4118 1
836 4119 1
838 4118 1
840 4117 1
842 4120 1
844 4119 1
846 4117 1
848 4118 1
850 4119 1
852 4119 1
854 4119 1
856 4118 1
858 4120 1
860 4119 1
862 4117 1
864 4118 1
866 4118 1
868 4118 1
870 4118 1
872 4118 1
874 4117 1
876 4116 1
878 4116 1
880 4116 1
882 4116 1
884 4117 1
886 4117 1
888 4117 1
890 4116 1
892 4116 1
894 4114 1
896 4114 1
898 4119 1
900 4117 1
902 4118 1
904 4119 1
906 4117 1
908 4117 1
910 4116 1
912 4118 1
914 4116 1
916 4117 1
918 4116 1
920 4118 1
922 4116 1
924 4117 1
926 4115 1
928 4117 1
930 4116 1
932 4117 1
934 4115 1
936 4115 1
938 4116 1
940 4112 1
942 4115 1
944 4116 1
946 4115 1
948 4114 1
950 4112 1
952 4116 1
954 4115 1
956 4115 1
958 4116 1
960 4115 1
962 4114 1
964 4115 1
966 4117 1
968 4116 1
970 4113 1
972 4115 1
974 4116 1
976 4111 1
978 4114 1
980 4114 1
982 4114 1
984 4115 1
986 4114 1
988 4113 1
990 4113 1
992 4112 1
994 4113 1
996 4113 1
998 4112 1
1000 4115 1
1002 4115 1
1004 4116 1
1006 4115 1
1008 4115 1
1010 4113 1
1012 4114 1
1014 4113 1
1016 4113 1
1018 4112 1
1020 4113 1
1022 4112 1
1024 4111 1
1026 4113 1
1028 4112 1
1030 4114 1
1032 4113 1
1034 4110 1
1036 4111 1
1038 4114 1
1040 4113 1
1042 4110 1
1044 4112 1
1046 4111 1
1048 4111 1
1050 4111 1
1052 4110 1
1054 4111 1
1056 4110 1
1058 4112 1
1060 4113 1
1062 4113 1
1064 4111 1
1066 4112 1
1068 4110 1
1070 4112 1
1072 4110 1
1074 4112 1
1076 4111 1
1078 4110 1
1080 4110 1
1082 4110 1
1084 4111 1
1086 4110 1
1088 4109 1
1090 4110 1
1092 4109 1
1094 4108 1
1096 4109 1
1098 4109 1
1100 4111 1
1102 4108 1
1104 4109 1
1106 4107 1
1108 4109 1
1110 4109 1
1112 4109 1
1114 4110 1
1116 4111 1
1118 4113 1
1120 4113 1
1122 4108 1
1124 4110 1
1126 4112 1
1128 4107 1
1130 4111 1
1132 4110 1
1134 4108 1
1136 4110 1
1138 4111 1
1140 4107 1
1142 4109 1
1144 4109 1
1146 4108 1
1148 4107 1
1150 4109 1
1152 4109 1
1154 4108 1
1156 4109 1
1158 4108 1
1160 4108 1
1162 4105 1
1164 4105 1
1166 4108 1
1168 4109 1
1170 4109 1
1172 4109 1
1174 4109 1
1176 4108 1
1178 4111 1
1180 4108 1
1182 4108 1
1184 4107 1
1186 4109 1
1188 4108 1
1190 4106 1
1192 4107 1
1194 4109 1
1196 4107 1
1198 4106 1
1200 4106 1
1202 4107 1
1204 4109 1
1206 4107 1
1208 4107 1
1210 4106 1
1212 4107 1
1214 4105 1
1216 4104 1
1218 4104 1
1220 4104 1
1222 4105 1
1224 4107 1
1226 4108 1
1228 4109 1
1230 4106 1
1232 4108 1
1234 4105 1
1236 4107 1
1238 4106 1
1240 4105 1
1242 4106 1
1244 4106 1
1246 4105 1
1248 4104 1
1250 4105 1
1252 4105 1
1254 4106 1
1256 4106 1
1258 4104 1
1260 4106 1
1262 4106 1
1264 4104 1
1266 4102 1
1268 4104 1
1270 4103 1
1272 4103 1
1274 4105 1
1276 4105 1
1278 4105 1
1280 4105 1
1282 4106 1
1284 4105 1
1286 4106 1
1288 4106 1
1290 4105 1
1292 4104 1
1294 4104 1
1296 4104 1
1298 4102 1
1300 4103 1
1302 4105 1
1304 4102 1
1306 4102 1
1308 4102 1
1310 4102 1
1312 4102 1
1314 4102 1
1316 4102 1
1318 4101 1
1320 4101 1
1322 4105 1
1324 4099 1
1326 4101 1
1328 4100 1
1330 4100 1
1332 4104 1
1334 4104 1
1336 4102 1
1338 4102 1
1340 4103 1
1342 4102 1
1344 4102 1
1346 4103 1
1348 4101 1
1350 4103 1
1352 4103 1
1354 4103 1
1356 4102 1
1358 4101 1
1360 4101 1
1362 4101 1
1364 4102 1
1366 4099 1
1368 4101 1
1370 4099 1
1372 4100 1
1374 4099 1
1376 4102 1
1378 4098 1
1380 4099 1
1382 4101 1
1384 4103 1
1386 4098 1
1388 4104 1
1390 4100 1
1392 4103 1
1394 4099 1
1396 4098 1
1398 4102 1
1400 4100 1
1402 4099 1
1404 4099 1
1406 4101 1
1408 4099 1
1410 4098 1
1412 4100 1
1414 4099 1
1416 4097 1
1418 4100 1
1420 4099 1
1422 4098 1
1424 4098 1
1426 4098 1
1428 4098 1
1430 4099 1
1432 4099 1
1434 4097 1
1436 4096 1
1438 4097 1
1440 4099 1
1442 4100 1
1444 4100 1
1446 4098 1
1448 4100 1
1450 4096 1
1452 4102 1
1454 4098 1
1456 4099 1
1458 4100 1
1460 4099 1
1462 4099 1
1464 4100 1
1466 4097 1
1468 4096 1
1470 4099 1
1472 4095 1
1474 4098 1
1476 4098 1
1478 4100 1
1480 4096 1
1482 4097 1
1484 4095 1
1486 4096 1
1488 4095 1
1490 4097 1
1492 4098 1
1494 4095 1
1496 4094 1
1498 4097 1
1500 4097 1
1502 4098 1
1504 4097 1
1506 4096 1
1508 4098 1
1510 4097 1
1512 4097 1
1514 4096 1
1516 4097 1
1518 4097 1
1520 4097 1
1522 4097 1
1524 4095 1
1526 4098 1
1528 4095 1
1530 4096 1
1532 4094 1
1534 4097 1
1536 4094 1
1538 4093 1
1540 4094 1
1542 4093 1
1544 4093 1
1546 4094 1
1548 4094 1
1550 4093 1
1552 4096 1
1554 4096 1
1556 4096 1
1558 4095 1
1560 4095 1
1562 4095 1
1564 4093 1
1566 4095 1
1568 4094 1
1570 4094 1
1572 4094 1
1574 4094 1
1576 4093 1
1578 4095 1
1580 4092 1
1582 4092 1
1584 4093 1
1586 4094 1
1588 4093 1
1590 4092 1
1592 4093 1
1594 4092 1
1596 4092 1
1598 4092 1
1600 4093 1
1602 4093 1
1604 4094 1
1606 4093 1
1608 4095 1
1610 4092 1
1612 4092 1
1614 4093 1
1616 4094 1
1618 4092 1
1620 4093 1
1622 4093 1
1624 4092 1
1626 4092 1
1628 4094 1
1630 4093 1
1632 4091 1
1634 4092 1
1636 4093 1
1638 4091 1
1640 4092 1
1642 4092 1
1644 4090 1
1646 4091 1
1648 4090 1
1650 4090 1
1652 4090 1
1654 4091 1
1656 4089 1
1658 4092 1
1660 4094 1
1662 4092 1
1664 4093 1
1666 4092 1
1668 4093 1
1670 4092 1
1672 4090 1
1674 4094 1
1676 4090 1
1678 4090 1
1680 4091 1
1682 4091 1
1684 4090 1
1686 4091 1
1688 4093 1
1690 4089 1
1692 4087 1
1694 4091 1
1696 4089 1
1698 4090 1
1700 4089 1
1702 4089 1
1704 4090 1
1706 4089 1
1708 4088 1
1710 4088 1
1712 4089 1
1714 4091 1
1716 4093 1
1718 4089 1
1720 4089 1
1722 4089 1
1724 4089 1
1726 4090 1
1728 4090 1
1730 4088 1
1732 4089 1
1734 4089 1
1736 4089 1
1738 4090 1
1740 4087 1
1742 4088 1
1744 4090 1
1746 4088 1
1748 4088 1
1750 4087 1
1752 4087 1
1754 4089 1
1756 4087 1
1758 4087 1
1760 4087 1
1762 4087 1
1764 4086 1
1766 4091 1
1768 4089 1
1770 4091 1
1772 4090 1
1774 4088 1
1776 4090 1
1778 4088 1
1780 4088 1
1782 4089 1
1784 4086 1
1786 4087 1
1788 4087 1
1790 4087 1
1792 4088 1
1794 4086 1
1796 4086 1
1798 4086 1
1800 4088 1
1802 4086 1
1804 4088 1
1806 4086 1
1808 4084 1
1810 4085 1
1812 4086 1
1814 4085 1
1816 4086 1
1818 4087 1
1820 4086 1
1822 4087 1
1824 4088 1
1826 4086 1
1828 4087 1
1830 4085 1
1832 4085 1
1834 4087 1
1836 4087 1
1838 4088 1
1840 4086 1
1842 4086 1
1844 4085 1
1846 4085 1
1848 4084 1
1850 4085 1
1852 4085 1
1854 4085 1
1856 4085 1
1858 4084 1
1860 4086 1
1862 4087 1
1864 4084 1
1866 4084 1
1868 4084 1
1870 4084 1
1872 4083 1
1874 4087 1
1876 4085 1
1878 4084 1
1880 4085 1
1882 4085 1
1884 4086 1
1886 4086 1
1888 4083 1
1890 4083 1
1892 4084 1
1894 4083 1
1896 4086 1
1898 4081 1
1900 4085 1
1902 4084 1
1904 4083 1
1906 4083 1
1908 4082 1
1910 4080 1
1912 4083 1
1914 4081 1
1916 4082 1
1918 4083 1
1920 4081 1
1922 4083 1
1924 4082 1
1926 4082 1
1928 4082 1
1930 4081 1
1932 4083 1
1934 4082 1
1936 4083 1
1938 4084 1
1940 4084 1
1942 4082 1
1944 4084 1
1946 4083 1
1948 4084 1
1950 4081 1
1952 4080 1
1954 4082 1
1956 4082 1
1958 4081 1
1960 4082 1
1962 4080 1
1964 4081 1
1966 4081 1
1968 4081 1
1970 4081 1
1972 4081 1
1974 4081 1
1976 4079 1
1978 4081 1
1980 4078 1
1982 4080 1
1984 4082 1
1986 4084 1
1988 4082 1
1990 4080 1
1992 4082 1
1994 4083 1
1996 4080 1
1998 4080 1
2000 4081 1
2002 4082 1
2004 4081 1
2006 4080 1
2008 4083 1
2010 4081 1
2012 4080 1
2014 4078 1
2016 4079 1
2018 4080 1
2020 4081 1
2022 4080 1
2024 4080 1
2026 4077 1
2028 4080 1
2030 4079 1
2032 4078 1
2034 4079 1
2036 4079 1
2038 4081 1
2040 4081 1
2042 4082 1
2044 4080 1
2046 4080 1
2048 4080 1
2050 4079 1
2052 4078 1
2054 4079 1
2056 4080 1
2058 4079 1
2060 4078 1
2062 4079 1
2064 4079 1
2066 4079 1
2068 4079 1
2070 4077 1
2072 4076 1
2074 4077 1
2076 4077 1
2078 4078 1
2080 4075 1
2082 4078 1
2084 4076 1
2086 4076 1
2088 4074 1
2090 4081 1
2092 4078 1
2094 4077 1
2096 4076 1
2098 4077 1
2100 4078 1
2102 4077 1
2104 4077 1
2106 4077 1
2108 4075 1
2110 4080 1
2112 4075 1
2114 4074 1
2116 4076 1
2118 4077 1
2120 4076 1
2122 4077 1
2124 4075 1
2126 4076 1
2128 4075 1
2130 4075 1
2132 4074 1
2134 4076 1
2136 4074 1
2138 4076 1
2140 4075 1
2142 4072 1
2144 4075 1
2146 4077 1
2148 4076 1
2150 4075 1
2152 4077 1
2154 4076 1
2156 4076 1
2158 4075 1
2160 4075 1
2162 4075 1
2164 4074 1
2166 4076 1
2168 4075 1
2170 4076 1
2172 4075 1
2174 4074 1
2176 4075 1
2178 4075 1
2180 4074 1
2182 4073 1
2184 4074 1
2186 4073 1
2188 4073 1
2190 4073 1
2192 4070 1
2194 4072 1
2196 4071 1
2198 4074 1
2200 4075 1
2202 4077 1
2204 4076 1
2206 4074 1
2208 4073 1
2210 4076 1
2212 4073 1
2214 4074 1
2216 4073 1
2218 4074 1
2220 4074 1
2222 4072 1
2224 4072 1
